t(s),Q'''(W/m^3)
2.5043317288751594,42342476.86044128
2.5123094740084375,42628754.404035844
2.5202636071306648,42915390.28137094
2.528194338622282,43202384.54964058
2.5361018757638782,43489737.274125114
2.5439864227997466,43777448.527375884
2.5518481809997704,44065518.35975995
2.559687348719699,44353946.855708554
2.567504121459863,44642734.08291695
2.5752986919223746,44931880.10569965
2.583071250066867,45221384.9986013
2.590821983164812,45511248.845731474
2.5985510758524617,45801471.71825091
2.6062587101824604,46092053.68802503
2.6139450656741596,46382994.841528535
2.6216103193626856,46674295.25727128
2.629254645846787,46965955.01232969
2.6368782173355076,47257974.196391866
2.6444812036937138,47550352.89642623
2.652063772486514,47843091.18854136
2.6596260890226024,48136189.16696051
2.6671683163965567,48429646.92122162
2.674690615530122,48723464.52799531
2.6821931452125116,49017642.10282966
2.689676062139752,49312179.709761485
2.697139520953097,49607077.46566467
2.704583674276544,49902335.45715917
2.7120086727534702,50197953.77756364
2.719414665082422,50493932.51882361
2.726801798052074,50790271.79381575
2.734170216575385,51086971.69023203
2.741520063722975,51384032.315700755
2.7488514807557385,51681453.766807064
2.756164607156723,51979236.15154984
2.763459580662288,52277379.565838054
2.7707365372925636,52575884.12380884
2.777995611381232,52874749.9265554
2.785236935604648,53173977.08483008
2.7924606410103134,53473565.69532625
2.7996668570447305,53773515.88694389
2.8068557115806403,54073827.750254184
2.8140273309436727,54374501.41512035
2.8211818399384163,54675536.97992305
2.828319361873928,54976934.55810433
2.8354400185886943,55278694.27794606
2.8425439304750597,55580816.23479423
2.8496312165031363,55883300.561784565
2.8567019942442067,56186147.37416547
2.8637563798936347,56489356.77669653
2.870794488293296,56792928.903162815
2.877816432953542,57096863.868241414
2.884822326074704,57401161.78300219
2.891812278568157,57705822.786743194
2.8987864000769474,58010846.99853269
2.905744798996001,58316234.52473707
2.9126875824919147,58621985.51532178
2.919614856522351,58928100.07461244
2.926526725855038,59234578.341929846
2.933423294086387,59541420.43452244
2.9403046636597407,59848626.48792889
2.947170935883252,60156196.63128169
2.954022210947413,60464130.986943424
2.9608585879422344,60772429.69485415
2.967680164874089,61081092.87117052
2.974487038682225,61390120.665633515
2.981279305254953,61699513.20363157
2.9880570594455276,62009270.61059202
2.9948203950877117,62319393.03669498
3.001569405011048,62629880.598479144
3.0083041810558364,62940733.45347406
3.015024814087822,63251951.71660416
3.0217313940126096,63563535.53505444
3.0284240097898003,63875485.054716356
3.035102749446864,64187800.40307491
3.041767700092751,64500481.72257644
3.0484189479312502,64813529.15362411
3.055056578274096,65126942.84281431
3.0616806755538355,65440722.92577807
3.068291323336454,65754869.54388593
3.0748886043337733,66069382.844092645
3.081472600415619,66384262.96167927
