TIRF Data File: Project 1464; Run 32
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg C	none	SAE
43.640	39.99	567.58	0.034	0.022	21.714	18.695	85.56	1897.57	19.48	-909.90	21.65	11.46	-2.09	-0.02	31.79	76.94	88.11	87.61	27.55	0.161	0.183
43.660	40.03	567.11	0.028	0.022	21.714	18.728	85.56	1851.15	12.97	-897.00	23.11	19.94	-2.06	-0.01	31.79	76.95	88.08	87.47	27.53	0.159	0.181
43.680	40.07	566.79	0.037	0.024	21.714	18.758	85.51	1851.60	16.27	-881.99	16.37	26.85	-2.10	-0.02	31.80	77.04	88.02	87.30	27.55	0.158	0.179
43.700	40.11	566.60	0.032	0.021	21.715	18.782	85.56	1909.06	23.42	-886.12	8.54	26.70	-2.15	-0.03	31.79	77.07	88.08	87.38	27.53	0.156	0.177
43.720	40.14	566.48	0.039	0.024	21.714	18.801	85.56	1950.26	29.19	-906.46	9.47	16.66	-2.15	-0.03	31.79	77.10	88.21	87.60	27.55	0.155	0.176
43.740	40.18	566.05	0.034	0.025	21.713	18.831	85.56	1914.53	22.26	-914.16	19.74	10.64	-2.09	-0.02	31.78	77.11	88.24	87.69	27.54	0.153	0.174
43.760	40.23	565.47	0.032	0.022	21.722	18.874	85.51	1857.90	16.51	-902.90	24.76	17.02	-2.06	-0.02	31.77	77.14	88.11	87.64	27.56	0.151	0.172
43.780	40.25	565.00	0.031	0.021	21.725	18.903	85.51	1841.84	13.53	-883.78	18.17	25.88	-2.08	-0.02	31.77	77.11	87.91	87.52	27.55	0.149	0.170
43.800	40.27	564.61	0.031	0.024	21.720	18.925	85.61	1885.39	22.57	-877.78	9.32	28.03	-2.15	-0.03	31.78	77.08	87.83	87.57	27.55	0.148	0.168
43.820	40.29	564.37	0.029	0.015	21.717	18.939	85.45	1948.96	27.91	-900.78	7.83	20.16	-2.16	-0.03	31.77	77.05	87.80	87.67	27.53	0.147	0.168
43.840	40.29	563.94	0.034	0.022	21.714	18.956	85.00	1938.74	26.54	-913.26	15.90	10.72	-2.12	-0.03	31.76	77.01	87.85	87.83	27.53	0.145	0.167
43.860	40.27	563.28	0.031	0.024	21.716	18.970	84.85	1879.26	16.61	-907.44	23.36	13.08	-2.07	-0.02	31.74	76.91	87.82	87.75	27.55	0.145	0.166
